IDG P-A（家）,ISG P-A（家）,会议形式（自主或展会/论坛等）,城市,备注,大区,客户人数,执行季度,执行月,日期,是否住宿,是否包含XC内容,是否邀请CLT,活动简介/申请理由（请列出PA客户及核心客户）,父记录,目标客户群（B2/B3）多选,类别,纵队,纵队细分行业（例如教育-高教）,订单产出时间,预估SQL数量,预估SQL金额M＄,预计产出订单金额（M＄）,展会/论坛名称
2,3,自主,郑州,近期郑州有7-8家医院领导进行更换，活动延期到7月举行,中东,18,Q2,8月,1723132800000.0,是,是,否,郑大一、省中医、郑大二等郑州重点三甲医院交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['政府'],医疗,Q2~Q3,15,3.5,1,
,,论坛,北京,,华北,20,Q1,6月,1718294400000.0,否,否,否,总部合办,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B1']",精品站,['综合'],综合,Q2-Q4,15,20,1,ISG算力大会北京站
,1,论坛,北京,潜在新客,华北,20,Q1,6月,1718467200000.0,否,是,否,总部指定,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B1', 'B2']",精品站,['综合'],综合,Q3-Q4,15,3.5,0.3,CIO峰会百人论坛
0,3,论坛,金华,,东南,16,Q1,6月,1719504000000.0,是,,否,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,,13,3.5,,浙江CIO峰会
3,4,自主,杭州,,东南,25,Q2,8月,1723824000000.0,是,是,否,针对浙江全省的金融客户做方案交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['金融'],金融,Q2~Q3,25,4,1.2,
3,3,自主,温州,,东南,15,Q2,8月,1724947200000.0,是,,否,聚焦宁波制造核心客户，进行专项沟通,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],制造,Q2~Q3,25,4.5,1.1,
7,5,自主,宁波,,东南,30,Q2,9月,1726761600000.0,是,,否,浙江重点制造客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],制造,Q3-Q4,30,4.5,1.2,
6,3,联合第三方,济南,已完成,中东,20,Q1,6月,1719590400000.0,否,是,否,联合济南市信息协会进行济南市重点职教客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['教育'],职教,Q2~Q3,16,4,1,
1,5,展会,成都,,西南,30,Q2,7月,1721232000000.0,否,是,否,展会聚焦XC和智慧产业，已连续举办4年，是目前西部地区规模最大、权威性最强的XC行业展览会。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['政府'],政府,Q3-Q4,30,7,2.4,第九届成都智博会暨2024年（中国）四川信创产业展览会
,,自主,重庆,,西南,15-20,Q1,6月,1718294400000.0,是,是,否,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['金融'],金融,,15,3.5,,
,,自主,成都,,西南,40,Q2,9月,1726156800000.0,否,否,否,【异构智算 稳定高效 联想算力基础设施新品品鉴会  AI智算专场】,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['综合'],综合,,30,7,,
3,3,自主,厦门,,东南,20,Q2,8月,1724342400000.0,是,是,否,厦门重点高校客户交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,Q2~Q3,15,3.5,1,
4,2,自主,厦门,,东南,15,Q2,8月,1724947200000.0,是,是,否,针对福建全省的金融客户做方案交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['金融'],金融,Q2~Q3,12,3,1,
2,4,自主,南京,,华东,20,Q2,7月,1720713600000.0,是,否,否,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q2-Q3,15,3.5,1.2,
3,6,自主,上海,,华东,15,Q1,6月,1718553600000.0,是,是,否,针对上海高教信息中心主任交流,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,,10,3.5,,
3,3,自主,合肥,,华东,15,Q2,8月,1724342400000.0,是,是,否,,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],高教,Q2-Q3,15,3.5,1.2,
,,自主,深圳,,华南,20-30,Q2,9月,1725897600000.0,否,是,否,深琼重点行业Project A客户全覆盖，邀请部分公交能和服务及其它客户一同走进南方智能制造基地交流，主推XC及智算。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],标准站,['重点行业'],公交能+服务及其它,,15,3.5,,
8,2,自主,南宁,,华南,15,Q2,7月,1720800000000.0,是,是,否,主要针对广西职教Project A客户全覆盖，及邀请部分高教一同交流，主推超融合、HPC及部分XC。已与行业经理郑裕民沟通参与。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['教育'],职教为主+高教,"Q2~Q3
S0240723589001广西建设职业技术学院  870万，9-10月
S0240711122001 水利水电客户 49万，8月
T0240718413001 广西职业师范学院 147万，7月15日",15,3.5,1.2,
2,2,与行业协会合作,广州,,华南,20,Q2,8月,1722960000000.0,否,否,否,广东半导体圈层活动，与广州市半导体协会合作，尽量广而深地覆盖半导体产业链。其中增芯FY24商机5000万，粤芯商机3000万。,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],半导体行业,,15,3.5,,
2,8,与行业协会合作,广州,站点申请11W费用,华南,30,Q2,7月,1721318400000.0,是,否,否,广东省工信厅旗下，广东省电子信息行业协会定于2024年7月19日在广州召开广东省新一代电子信息产业发展大会。聚焦新质生产力，推动电子信息产业发展，大会规模500+，可做大会主题报告+核心广东深圳PA客户的联想智能制造定向闭门会议+展区展示；,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['制造'],电子信息制造,Q2-Q3,20,8.5,2.4,2024广东省新一代电子信息产业发展大会
2,4,自主,广州,,华南,15,Q2,8月,1724256000000.0,是,否,否,广州为主的高职副主任级别会议,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['教育'],高教,,15,3.5,,
2,3,自主,广州,,华南,15,Q2,8月,1723737600000.0,否,否,否,广东职教学校圈层,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['教育'],职教,,15,3.5,,
1,3,与行业协会合作,惠州,,华南,15,Q2,9月,1725638400000.0,是,否,否,与惠州CIO协会合作，覆盖惠州、东莞、深圳等制造业CIO，或者IT总监、开发等，客户分别有：亿纬锂能、西顿照明、德赛电池等,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]",['B2'],精品站,['制造'],制造,,15,3.5,,
4,5,自主,北京,,华北,17,Q2,7月,1720022400000.0,是,是,否,北京制造客户参观天津工厂,"[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",精品站,['制造'],制造,Q2-Q4,17,4,1.2,
3,11,自主,北京,,华北,30,Q2,7月,1721318400000.0,是,是,否,"1、客户中包含评标专家评委对整个未来北京教育的业务有帮助
2、邀请双一流及普本重点PC、ISG国资处负责人，projcetA客户
3、邀请纵队总经理金鑫以及对应行业支持领导","[{'table_id': '', 'text_arr': [], 'type': 'text'}]","['B2', 'B3']",标准站,['教育'],高教,Q2-Q3,20,4.5,1.2,
